"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","Condition_QC_MeanIntensity","Condition_BLANK_MeanIntensity","Condition_Control_MeanIntensity","Condition_Treatment_MeanIntensity","QC_1_07-Aug-24_10149","QC_1_07-Aug-24_10161","QC_1_07-Aug-24_10173","QC_1_07-Aug-24_10185","QC_1_07-Aug-24_10192","QC_1_08-Aug-24_10204","QC_1_08-Aug-24_10216","B9_PBS_1_08-Aug-24_10218","B9_PBS_2_08-Aug-24_10219","B9_PBS_3_08-Aug-24_10220","B9_PBS_4_08-Aug-24_10221","B9_DMSO_1_08-Aug-24_10223","B9_DMSO_2_08-Aug-24_10224","B9_DMSO_3_08-Aug-24_10225","B9_DMSO_4_08-Aug-24_10226","QC_1_08-Aug-24_10228","B9_Comp_1_08-Aug-24_10235","B9_Comp_2_08-Aug-24_10236","B9_Comp_3_08-Aug-24_10237","B9_Comp_4_08-Aug-24_10238","QC_1_08-Aug-24_10240","QC_1_08-Aug-24_10252","QC_1_08-Aug-24_10266","QC_1_08-Aug-24_10278","QC_1_09-Aug-24_10290","QC_1_09-Aug-24_10302","QC_1_09-Aug-24_10314","QC_1_09-Aug-24_10328","QC_1_09-Aug-24_10335","QC_1_09-Aug-24_10347","QC_1_09-Aug-24_10359","B9_PBS_1_09-Aug-24_10361","B9_PBS_2_09-Aug-24_10362","B9_PBS_3_09-Aug-24_10363","B9_PBS_4_09-Aug-24_10364","B9_DMSO_1_10-Aug-24_10366","B9_DMSO_2_10-Aug-24_10367","B9_DMSO_3_10-Aug-24_10368","B9_DMSO_4_10-Aug-24_10369","QC_1_10-Aug-24_10371","B9_Comp_1_10-Aug-24_10378","B9_Comp_2_10-Aug-24_10379","B9_Comp_3_10-Aug-24_10380","B9_Comp_4_10-Aug-24_10381","QC_1_10-Aug-24_10383","QC_1_10-Aug-24_10395","QC_1_10-Aug-24_10407","QC_1_10-Aug-24_10419","QC_1_10-Aug-24_10431","QC_1_10-Aug-24_10443","QC_1_10-Aug-24_10455","QC_1_11-Aug-24_10467","QC_1_11-Aug-24_10474","QC_1_11-Aug-24_10486","QC_1_11-Aug-24_10498","B9_PBS_1_11-Aug-24_10500","B9_PBS_2_11-Aug-24_10501","B9_PBS_3_11-Aug-24_10502","B9_PBS_4_11-Aug-24_10503","B9_DMSO_1_11-Aug-24_10505","B9_DMSO_2_11-Aug-24_10506","B9_DMSO_3_11-Aug-24_10507","B9_DMSO_4_11-Aug-24_10508","QC_1_11-Aug-24_10510","B9_Comp_1_11-Aug-24_10517","B9_Comp_2_12-Aug-24_10522","B9_Comp_3_12-Aug-24_10523","B9_Comp_4_12-Aug-24_10524","QC_1_12-Aug-24_10526","QC_1_12-Aug-24_10538","QC_1_12-Aug-24_10550","QC_1_12-Aug-24_10562","QC_1_13-Aug-24_10574"
1914,509.08,630.45490,260.1946,,,,ION=[M+H]+,,,2558.08,336.44,0.00,1475.43,972.29,1828.94,0.00,0.00,0.00,1826.53,0.00,0.00,0.00,0.00,0.00,0.00,2363.27,2300.10,2059.46,2058.41,1828.22,2197.40,0.00,0.00,2558.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,806.47,0.00,0.00,0.00,0.00,0.00,0.00,1113.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2195.77,0.00,0.00,0.00,0.00,2208.83,1926.15,2199.88,1782.63,1827.95,2504.86,2424.39,1982.74,0.00,0.00,1827.95,0.00,0.00,0.00
1915,509.71,831.23278,261.09988,,,,ION=[M+H]+,,,5629.30,1507.03,1818.87,2603.43,2596.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2753.35,3161.41,2960.84,0.00,0.00,3266.97,2754.35,3023.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2876.36,2471.07,3561.14,0.00,3450.07,5629.30,2675.63,3106.54,3049.02,2788.38,0.00,3166.76,2766.82,2987.12,2474.74,3341.68,3347.63,0.00,3098.68,3582.18,3997.33,3519.47,3404.85,4121.19,3503.67,2891.60,3077.23,3051.34,3057.40,0.00,3300.05,3086.75,2207.43,2151.82,2597.67,3132.76,2793.57,2785.79,2000.56,2978.60,2332.78,2699.31,2212.30,2783.60
1916,510.05,776.48416,280.22784,,,,ION=[M+H]+,,,9422.52,0.00,0.00,0.00,7440.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8254.50,8434.67,7365.90,7319.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8512.03,5713.13,8932.42,6823.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9422.52,5892.61,7176.91,5434.05,0.00,0.00,0.00,0.00,0.00
1917,511.82,979.26965,284.48947,,,,ION=[M+H]+,,,3503.10,1541.94,1356.72,1708.03,1529.19,0.00,1991.58,2247.16,0.00,0.00,2216.54,0.00,2534.01,2461.51,2493.08,0.00,2216.22,1631.27,0.00,1513.51,0.00,0.00,1437.10,1568.14,1615.71,0.00,2040.88,0.00,2272.84,1823.75,0.00,0.00,1820.51,3175.28,3503.10,2020.85,2018.72,0.00,1943.51,0.00,1854.39,2048.12,1625.33,2124.85,0.00,2388.73,1914.06,2033.68,1926.61,2050.45,1804.18,2000.95,2272.92,2678.44,2230.60,2217.41,2298.35,2374.76,2207.11,1978.55,2614.78,0.00,2215.07,0.00,2098.03,1982.34,1855.19,1547.09,2109.15,2109.74,0.00,2034.59,1321.89,2244.93,1267.10,2241.91,0.00,1962.48
1918,510.62,627.18676,234.30537,,,,ION=[M+H]+,,,30165.24,13245.05,15231.75,14256.47,14895.29,18782.50,19563.95,20968.67,20349.37,0.00,0.00,0.00,20496.06,21646.43,0.00,16509.54,18205.23,0.00,20182.75,19762.73,0.00,19601.14,0.00,20845.78,23483.25,0.00,18002.98,21480.71,20175.04,18615.19,18984.26,19632.93,16464.98,0.00,26393.02,30165.24,24704.43,22275.07,24080.43,20415.12,21527.56,27826.09,20955.45,26505.21,21782.25,25610.20,26081.91,21718.14,19904.97,0.00,0.00,22166.55,15213.35,19605.46,0.00,0.00,20036.41,23852.68,0.00,0.00,0.00,0.00,16402.91,16250.96,0.00,0.00,0.00,16112.58,19330.40,0.00,21498.03,0.00,0.00,17867.22,19100.19,19973.17,0.00,21560.51
1919,510.74,368.29015,200.80872,,,,ION=[M+H]+,,,28508.41,17973.34,21317.41,16381.80,16442.23,17441.10,13656.84,18105.79,16928.18,17731.67,18325.87,22159.06,22683.44,20332.10,22125.02,19570.96,18185.94,16795.11,19630.94,16872.16,19546.07,17781.95,16202.24,14731.88,15911.03,15127.63,18002.95,19452.61,17861.22,19091.69,20786.99,19031.16,11950.16,14809.44,15528.42,18387.90,20396.58,21129.62,18696.51,16968.73,18932.26,14341.39,14926.41,13861.78,15393.96,16608.72,15381.11,15229.51,15659.93,18707.42,14684.34,23380.76,19397.53,18044.34,24878.73,17630.47,19293.18,16810.16,18983.21,17363.75,28508.41,22356.47,20511.19,22529.87,19059.92,16013.32,15348.45,12613.96,18411.21,15919.06,21490.29,16512.04,15878.96,16600.74,18312.04,18165.38,18102.01,16929.67
1920,511.20,980.26981,283.05124,,,,ION=[M+H]+,,,3722.74,2350.87,1651.26,2263.77,2395.19,2980.86,2453.44,3031.55,2376.65,2582.00,0.00,0.00,2980.96,2599.17,0.00,2964.61,0.00,2381.98,1836.06,2000.87,2599.62,2609.70,2167.37,1894.96,2074.37,2362.87,2305.70,3280.15,0.00,2212.12,0.00,2681.68,2807.07,3722.74,3649.00,2303.86,0.00,0.00,0.00,0.00,2825.56,2474.41,2329.43,2931.66,0.00,2266.49,2478.58,2241.02,2386.14,2605.78,2553.31,2618.28,2571.78,2667.08,2608.40,3220.83,2979.24,2804.28,2750.43,2311.67,2875.26,2884.92,2968.76,2541.48,3202.53,2464.62,2334.05,2384.09,3019.52,2684.00,2619.91,2670.82,2648.91,2534.47,2628.60,2587.73,2573.97,2597.57
1921,512.75,283.28729,189.3252,5.465,"Stearamide","C18H37NO",ION=[M+H]+,"C13846","124-26-5",34913.86,9691.17,0.00,27644.51,22717.25,12839.39,11715.76,11077.96,0.00,0.00,0.00,10158.32,0.00,0.00,0.00,0.00,32586.66,18142.14,30662.93,21887.00,10854.77,27235.32,18674.60,16558.94,15816.58,11301.50,9213.77,10734.73,11191.88,0.00,0.00,11636.64,7695.48,10203.10,13414.88,12168.60,0.00,0.00,0.00,0.00,34913.86,27831.43,34040.56,30200.74,11861.53,30868.81,19347.64,27181.66,20169.90,12871.14,10582.14,12231.11,10148.20,10548.00,13690.46,12626.15,13553.66,11779.91,11201.60,8478.93,0.00,0.00,0.00,0.00,28175.36,23995.39,24354.40,24943.62,7722.21,28749.64,25947.90,22614.46,19441.63,9857.59,12304.33,11420.44,12305.65,11183.53
1922,513.59,394.21267,208.74687,,,,ION=[M+H]+,,,2149.61,1231.36,736.98,688.58,810.14,1303.78,1625.12,1228.25,1438.26,1384.07,1465.18,1446.94,1513.25,0.00,0.00,2149.61,0.00,0.00,1151.72,883.07,1227.49,1142.61,0.00,0.00,906.21,881.23,1007.32,1957.88,1341.68,1591.97,1899.74,1696.03,0.00,1339.19,1244.19,1624.05,311.36,0.00,1903.19,0.00,1669.55,0.00,524.34,1130.69,1782.71,833.18,1085.63,981.94,679.21,1187.38,1396.14,0.00,1592.88,1055.46,1179.90,0.00,1576.69,1403.79,1907.45,1372.98,1354.71,610.40,0.00,1001.20,1405.41,717.49,780.73,0.00,1125.99,1110.32,1277.95,905.94,798.64,1327.38,1477.74,1471.60,0.00,0.00
1923,513.00,390.20187,182.84697,,,,ION=[M+H]+,,,6153.92,3012.23,5039.17,3075.31,3171.97,5544.64,4807.42,0.00,0.00,5149.00,4924.80,0.00,5158.08,4681.74,4631.63,4648.26,5235.56,5443.77,4988.64,4902.31,5489.72,4522.24,0.00,4787.70,5158.49,0.00,0.00,4220.66,0.00,0.00,3901.21,0.00,5428.53,5223.00,0.00,4993.13,5465.24,6007.62,5242.67,5107.55,5102.50,0.00,0.00,0.00,4902.70,4924.25,4637.75,0.00,0.00,0.00,4853.25,5678.44,0.00,4612.97,5523.53,4835.44,5494.42,0.00,0.00,0.00,4628.51,4509.63,4941.68,5447.41,6148.46,0.00,0.00,5082.43,6153.92,5044.49,0.00,4532.45,4456.23,5825.61,4546.91,4318.01,5025.04,0.00
