"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","Condition_QC_MeanIntensity","Condition_BLANK_MeanIntensity","Condition_Control_MeanIntensity","Condition_Treatment_MeanIntensity","QC_1_07-Aug-24_10149","QC_1_07-Aug-24_10161","QC_1_07-Aug-24_10173","QC_1_07-Aug-24_10185","QC_1_07-Aug-24_10192","QC_1_08-Aug-24_10204","QC_1_08-Aug-24_10216","B9_PBS_1_08-Aug-24_10218","B9_PBS_2_08-Aug-24_10219","B9_PBS_3_08-Aug-24_10220","B9_PBS_4_08-Aug-24_10221","B9_DMSO_1_08-Aug-24_10223","B9_DMSO_2_08-Aug-24_10224","B9_DMSO_3_08-Aug-24_10225","B9_DMSO_4_08-Aug-24_10226","QC_1_08-Aug-24_10228","B9_Mena_1_08-Aug-24_10230","B9_Mena_2_08-Aug-24_10231","B9_Mena_3_08-Aug-24_10232","B9_Mena_4_08-Aug-24_10233","QC_1_08-Aug-24_10240","QC_1_08-Aug-24_10252","QC_1_08-Aug-24_10266","QC_1_08-Aug-24_10278","QC_1_09-Aug-24_10290","QC_1_09-Aug-24_10302","QC_1_09-Aug-24_10314","QC_1_09-Aug-24_10328","QC_1_09-Aug-24_10335","QC_1_09-Aug-24_10347","QC_1_09-Aug-24_10359","B9_PBS_1_09-Aug-24_10361","B9_PBS_2_09-Aug-24_10362","B9_PBS_3_09-Aug-24_10363","B9_PBS_4_09-Aug-24_10364","B9_DMSO_1_10-Aug-24_10366","B9_DMSO_2_10-Aug-24_10367","B9_DMSO_3_10-Aug-24_10368","B9_DMSO_4_10-Aug-24_10369","QC_1_10-Aug-24_10371","B9_Mena_1_10-Aug-24_10373","B9_Mena_2_10-Aug-24_10374","B9_Mena_3_10-Aug-24_10375","B9_Mena_4_10-Aug-24_10376","QC_1_10-Aug-24_10383","QC_1_10-Aug-24_10395","QC_1_10-Aug-24_10407","QC_1_10-Aug-24_10419","QC_1_10-Aug-24_10431","QC_1_10-Aug-24_10443","QC_1_10-Aug-24_10455","QC_1_11-Aug-24_10467","QC_1_11-Aug-24_10474","QC_1_11-Aug-24_10486","QC_1_11-Aug-24_10498","B9_PBS_1_11-Aug-24_10500","B9_PBS_2_11-Aug-24_10501","B9_PBS_3_11-Aug-24_10502","B9_PBS_4_11-Aug-24_10503","B9_DMSO_1_11-Aug-24_10505","B9_DMSO_2_11-Aug-24_10506","B9_DMSO_3_11-Aug-24_10507","B9_DMSO_4_11-Aug-24_10508","QC_1_11-Aug-24_10510","B9_Mena_1_11-Aug-24_10512","B9_Mena_2_11-Aug-24_10513","B9_Mena_3_11-Aug-24_10514","B9_Mena_4_11-Aug-24_10515","QC_1_12-Aug-24_10526","QC_1_12-Aug-24_10538","QC_1_12-Aug-24_10550","QC_1_12-Aug-24_10562","QC_1_13-Aug-24_10574"
1679,500.94,266.17818,236.83473,,,,ION=[M+H+H]2+,,,5550.83,1862.36,421.98,2468.72,3113.86,0.00,0.00,0.00,0.00,2848.25,0.00,3672.81,0.00,0.00,0.00,0.00,0.00,4438.82,0.00,0.00,0.00,4371.85,0.00,0.00,2328.38,0.00,0.00,5550.83,0.00,0.00,0.00,4245.79,0.00,3471.81,0.00,4683.18,5063.75,0.00,0.00,0.00,0.00,4193.85,3713.68,4670.10,4422.54,4941.37,4510.07,3907.75,4647.44,3085.81,3999.55,3341.32,5290.13,5043.92,4204.59,3368.32,3825.45,0.00,3881.03,0.00,0.00,0.00,0.00,0.00,0.00,4773.43,3904.46,3930.31,0.00,4291.88,4664.43,0.00,3703.10,0.00,0.00,0.00,3971.90,0.00
1680,501.78,318.21697,183.90671,,,,ION=[M+H]+,,,1875.06,1050.07,464.45,960.95,754.20,1067.85,1229.91,1398.34,823.35,0.00,1165.30,1115.50,0.00,896.48,658.84,732.70,1081.79,888.36,1151.76,1136.80,1102.80,945.77,988.93,1064.56,699.99,779.96,1067.22,1875.06,1283.98,1446.32,1258.64,1445.78,0.00,1243.31,963.24,884.01,917.51,0.00,0.00,0.00,936.61,1059.29,1261.47,929.62,1061.88,986.89,1233.53,0.00,0.00,1124.80,1123.79,1008.61,1643.85,1163.43,0.00,1234.89,1128.27,1036.44,1078.41,1206.75,1206.74,0.00,0.00,1161.17,0.00,1108.75,1039.93,936.96,1446.72,1097.72,1113.42,0.00,919.59,1162.82,0.00,965.85,1352.01,963.59
1681,501.95,495.41321,227.33505,,,,ION=[M+H]+,,,33271.53,23368.76,24319.72,20328.52,22076.90,32353.04,27823.58,32869.11,28870.49,30536.82,27690.36,25946.81,30899.42,29920.30,28468.75,23955.46,27845.38,30769.80,31274.75,0.00,31349.06,26803.51,27246.01,28053.96,29261.99,30328.12,27259.08,33271.53,32497.77,28264.47,25503.80,27948.97,0.00,31231.11,0.00,0.00,31204.84,28442.16,29055.62,29593.92,31908.26,31600.12,0.00,32488.88,0.00,0.00,30957.58,32385.64,30603.45,0.00,31257.68,30251.13,30801.99,32344.59,0.00,30525.52,29037.69,0.00,28143.08,29483.22,29729.33,0.00,0.00,30566.85,0.00,29856.35,28198.67,0.00,29287.48,0.00,28369.75,31240.91,0.00,29878.33,32029.19,0.00,29050.87,28809.41
1682,502.55,451.38706,220.16563,,,,ION=[M+H]+,,,39998.65,21144.68,23305.35,8080.11,14790.10,36399.73,35937.81,36353.19,30903.79,32371.59,33347.37,30634.41,26281.48,28049.57,29311.51,31871.86,0.00,29523.42,31595.82,0.00,32375.35,32936.09,0.00,33094.68,0.00,34623.75,0.00,38172.03,30787.96,0.00,29671.64,30185.82,33358.95,36622.57,0.00,38062.61,34933.86,36403.76,0.00,0.00,0.00,0.00,0.00,0.00,38566.72,0.00,0.00,34280.53,37171.28,35218.45,36228.46,0.00,0.00,0.00,0.00,33708.41,32043.29,0.00,0.00,0.00,29880.47,31313.67,0.00,31617.97,0.00,0.00,0.00,35842.08,0.00,0.00,0.00,0.00,39998.65,0.00,33960.21,0.00,32819.09,0.00
1683,502.08,553.16798,222.60962,,,,ION=[M+H]+,,,6799.34,3245.96,3340.33,2905.68,1220.04,4661.42,5783.97,5554.09,5857.43,4984.49,4582.80,0.00,4540.44,4302.16,4989.48,4313.27,4076.97,4574.47,4214.67,4581.19,5055.77,4495.29,0.00,0.00,0.00,4296.04,5111.33,6668.81,6799.34,5054.61,0.00,5985.55,0.00,5190.52,5835.71,6117.94,5011.51,0.00,4975.48,4925.21,4211.22,0.00,0.00,5006.46,0.00,5262.54,0.00,0.00,4882.60,5894.46,0.00,0.00,5937.15,5135.52,0.00,4831.79,5104.21,0.00,0.00,5657.68,3786.96,3239.40,0.00,0.00,0.00,4769.65,3433.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1684,502.34,370.09385,225.62022,,,,ION=[M+H]+,,,7043.34,4267.45,3509.51,3662.06,2255.93,0.00,5666.68,6089.79,0.00,5739.91,5236.25,5661.18,4744.55,4580.88,5230.96,5286.98,5688.38,0.00,5891.78,4952.46,4441.56,4131.48,0.00,5799.99,4831.61,4668.41,3762.00,6925.11,7043.34,5267.00,0.00,5419.58,5794.04,0.00,5674.72,6346.98,3990.18,0.00,3866.71,5351.30,4644.56,4892.04,4751.54,5520.79,0.00,5715.80,0.00,6592.30,0.00,5083.72,6039.04,6781.24,6194.21,0.00,5401.77,5356.85,5284.46,5873.85,6268.93,5112.95,4243.38,0.00,0.00,4819.16,4863.42,2739.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5654.59,5629.15,5478.43,0.00
1685,502.11,292.20127,177.65596,,,,ION=[M+H]+,,,1576.70,1130.26,250.21,1074.40,1044.02,1291.15,1296.03,0.00,1098.72,1039.61,1201.45,1450.37,0.00,721.13,0.00,0.00,1103.97,1282.20,998.70,1412.98,1056.26,1163.20,1287.72,990.38,0.00,1127.15,1019.92,1563.91,1576.70,1471.03,1460.16,1291.22,0.00,955.90,759.95,1439.00,723.23,0.00,0.00,0.00,1059.30,933.78,1014.69,1080.96,1247.06,1116.91,990.32,1053.83,1095.66,1035.76,0.00,1359.42,1282.84,1152.60,849.39,1301.44,1519.30,1247.79,1067.39,1380.82,665.26,0.00,0.00,892.89,0.00,1113.24,1542.11,1350.90,1135.05,1184.84,1040.77,1188.02,1416.56,1093.05,1017.04,1378.01,1220.94,1433.16
1686,502.28,662.44617,279.22214,,,,ION=[M+H]+,,,4336.89,2973.10,2313.05,3014.19,3163.47,3809.53,2296.67,4336.89,2386.32,3451.18,3536.10,2113.62,2912.16,3110.07,3312.07,0.00,3229.35,2820.90,2510.93,2390.29,2969.64,3328.42,2869.88,2604.32,3035.85,2780.19,2789.66,0.00,2039.31,2250.67,1999.49,2673.57,3384.92,3774.69,4047.20,3610.38,2323.08,2646.06,2665.74,2652.00,3639.47,3427.00,3185.39,3297.15,4222.99,3835.01,3721.98,3964.67,3442.71,2935.34,3470.10,3372.94,2735.62,2957.49,2971.28,3230.33,2679.14,2957.03,3125.24,3078.85,0.00,2796.09,3023.93,2315.41,2828.95,2909.82,3106.45,2824.57,3165.81,2450.55,2739.53,2935.83,3032.93,2843.79,3308.12,2984.79,2680.36,3035.53
1687,502.43,390.27734,211.05685,21.056,"Bis(2-ethylhexyl) phthalate","C24H38O4",ION=[M+H]+,,,8120.33,4326.45,2734.44,4358.13,3938.14,4969.62,4770.02,4837.95,4781.35,4424.62,3911.75,4581.53,0.00,0.00,3230.00,3449.18,4284.48,4205.30,4528.58,5352.79,3733.73,3580.16,3715.06,3422.68,4422.47,0.00,3366.17,5443.70,4841.42,3826.87,4253.12,3962.33,0.00,5039.23,6578.77,6376.35,4388.93,3762.80,4120.55,3834.27,0.00,5581.31,8120.33,7304.35,4920.20,4375.99,0.00,5022.38,4534.42,4669.91,4783.42,4095.33,5339.40,4987.52,5025.52,0.00,4204.36,4628.67,5557.39,5115.34,2995.03,0.00,3729.54,3302.96,0.00,3735.87,4384.74,4799.85,4920.84,5038.04,4332.50,4400.75,4413.18,4395.56,4298.92,4867.55,4520.68,4049.63
1688,502.49,534.20743,215.04889,,,,ION=[M+H]+,,,2370.03,1276.27,428.67,1175.36,1572.82,0.00,1363.31,1286.93,1596.13,2216.08,1321.40,1028.69,753.04,762.22,780.42,1139.19,953.18,0.00,1301.92,1133.51,1555.32,1099.87,1262.66,1467.71,1358.87,1654.23,1410.67,1488.16,1730.60,1508.41,1677.95,1710.49,0.00,0.00,1459.71,1267.25,0.00,0.00,0.00,808.63,1381.07,2370.03,1973.56,0.00,1574.55,1385.86,1647.83,1355.14,1288.46,1268.14,0.00,0.00,1310.78,1602.81,1357.37,1528.80,1841.18,1162.13,1503.13,2132.80,0.00,900.50,0.00,0.00,1778.52,1558.41,1654.10,0.00,1854.22,2245.43,1798.75,1758.06,2205.22,1568.24,1475.65,1188.67,0.00,1578.21
