"FEATURE_ID","RT","PEPMASS","CCS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","Condition_QC_MeanIntensity","Condition_BLANK_MeanIntensity","Condition_Control_MeanIntensity","Condition_Treatment_MeanIntensity","QC_1_07-Aug-24_10149","QC_1_07-Aug-24_10161","QC_1_07-Aug-24_10173","QC_1_07-Aug-24_10185","QC_1_07-Aug-24_10192","QC_1_08-Aug-24_10204","QC_1_08-Aug-24_10216","B9_PBS_1_08-Aug-24_10218","B9_PBS_2_08-Aug-24_10219","B9_PBS_3_08-Aug-24_10220","B9_PBS_4_08-Aug-24_10221","B9_DMSO_1_08-Aug-24_10223","B9_DMSO_2_08-Aug-24_10224","B9_DMSO_3_08-Aug-24_10225","B9_DMSO_4_08-Aug-24_10226","QC_1_08-Aug-24_10228","B9_Comp_1_08-Aug-24_10235","B9_Comp_2_08-Aug-24_10236","B9_Comp_3_08-Aug-24_10237","B9_Comp_4_08-Aug-24_10238","QC_1_08-Aug-24_10240","QC_1_08-Aug-24_10252","QC_1_08-Aug-24_10266","QC_1_08-Aug-24_10278","QC_1_09-Aug-24_10290","QC_1_09-Aug-24_10302","QC_1_09-Aug-24_10314","QC_1_09-Aug-24_10328","QC_1_09-Aug-24_10335","QC_1_09-Aug-24_10347","QC_1_09-Aug-24_10359","B9_PBS_1_09-Aug-24_10361","B9_PBS_2_09-Aug-24_10362","B9_PBS_3_09-Aug-24_10363","B9_PBS_4_09-Aug-24_10364","B9_DMSO_1_10-Aug-24_10366","B9_DMSO_2_10-Aug-24_10367","B9_DMSO_3_10-Aug-24_10368","B9_DMSO_4_10-Aug-24_10369","QC_1_10-Aug-24_10371","B9_Comp_1_10-Aug-24_10378","B9_Comp_2_10-Aug-24_10379","B9_Comp_3_10-Aug-24_10380","B9_Comp_4_10-Aug-24_10381","QC_1_10-Aug-24_10383","QC_1_10-Aug-24_10395","QC_1_10-Aug-24_10407","QC_1_10-Aug-24_10419","QC_1_10-Aug-24_10431","QC_1_10-Aug-24_10443","QC_1_10-Aug-24_10455","QC_1_11-Aug-24_10467","QC_1_11-Aug-24_10474","QC_1_11-Aug-24_10486","QC_1_11-Aug-24_10498","B9_PBS_1_11-Aug-24_10500","B9_PBS_2_11-Aug-24_10501","B9_PBS_3_11-Aug-24_10502","B9_PBS_4_11-Aug-24_10503","B9_DMSO_1_11-Aug-24_10505","B9_DMSO_2_11-Aug-24_10506","B9_DMSO_3_11-Aug-24_10507","B9_DMSO_4_11-Aug-24_10508","QC_1_11-Aug-24_10510","B9_Comp_1_11-Aug-24_10517","B9_Comp_2_12-Aug-24_10522","B9_Comp_3_12-Aug-24_10523","B9_Comp_4_12-Aug-24_10524","QC_1_12-Aug-24_10526","QC_1_12-Aug-24_10538","QC_1_12-Aug-24_10550","QC_1_12-Aug-24_10562","QC_1_13-Aug-24_10574"
136,64.75,534.12153,206.62051,,,,ION=[M+H]+,,,16579.92,0.00,0.00,6734.68,12235.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5047.67,5825.53,6010.78,6368.15,0.00,14931.03,10960.04,10898.60,10884.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5630.77,7032.11,7232.88,7074.32,0.00,13994.46,8764.30,13023.50,10534.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6518.56,8636.60,7217.81,8220.97,0.00,16579.92,10902.96,13046.35,12309.45,0.00,0.00,0.00,0.00,0.00
137,65.14,666.14829,293.5415,,,,ION=[M+H+H]2+,,,7250.87,0.00,0.00,4728.18,5451.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4439.72,6037.59,5818.17,4670.84,0.00,5343.44,4565.54,6039.78,5079.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3919.26,5448.00,4785.43,3613.68,0.00,5917.65,4394.23,7155.87,4906.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4525.22,4526.26,4599.92,4354.02,0.00,5789.61,4351.10,7250.87,4624.73,0.00,0.00,0.00,0.00,0.00
138,65.21,325.24767,176.44325,,,,ION=[M+H]+,,,11235.79,0.00,0.00,2888.92,1340.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1028.55,6712.15,0.00,2357.34,0.00,0.00,0.00,0.00,4030.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9767.68,0.00,1084.42,0.00,0.00,0.00,0.00,3688.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,965.48,11235.79,0.00,1515.68,0.00,0.00,0.00,0.00,8370.86,0.00,0.00,0.00,0.00,0.00
139,65.66,293.13961,170.31435,,,,ION=[M+H]+,,,8442.43,0.00,0.00,5432.24,4181.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5142.76,4350.62,5073.10,8397.67,0.00,4302.26,4448.76,3242.90,4622.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3699.30,3793.96,4642.44,7458.78,0.00,4496.45,2830.10,3966.94,3726.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5180.68,4230.65,4774.52,8442.43,0.00,5583.38,3541.31,4639.50,4776.35,0.00,0.00,0.00,0.00,0.00
140,66.16,148.03765,133.10251,,,,ION=[M+H]+,,,6019.93,0.00,0.00,4282.63,4581.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4258.06,6019.93,3956.64,4877.80,0.00,4613.45,3523.88,4890.18,4010.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4500.69,4827.21,1685.16,3573.20,0.00,3527.78,4976.69,5236.32,4043.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4640.76,4722.54,4007.99,4321.55,0.00,3902.68,4970.96,5722.31,5562.64,0.00,0.00,0.00,0.00,0.00
141,66.24,312.24906,199.0737,,,,ION=[M+H]+,,,3689.05,0.00,0.00,2160.75,2591.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2443.42,2795.77,2325.80,2363.23,0.00,2140.76,2433.65,2638.32,2603.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2400.85,3689.05,2604.53,0.00,0.00,2688.07,2837.37,2512.76,2725.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2419.33,2511.14,0.00,2375.93,0.00,2640.48,2557.22,2729.50,2590.04,0.00,0.00,0.00,0.00,0.00
142,66.56,377.12550,185.52135,,,,ION=[M+H]+,,,5203.05,0.00,0.00,3396.87,2613.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4199.96,3823.12,5203.05,3929.79,0.00,3115.04,3934.49,2957.63,3613.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3293.04,2814.29,4128.23,2806.10,0.00,2521.61,1667.53,2196.62,2466.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1491.13,2625.54,3010.74,3437.40,0.00,2099.26,2221.68,1956.55,2610.81,0.00,0.00,0.00,0.00,0.00
143,66.69,266.12616,165.23305,34.458,"Phe Thr","C13H18N2O4",ION=[M+H]+,,,6627.48,0.00,0.00,4264.16,3363.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3001.53,3069.81,4297.25,5719.40,0.00,3522.50,3809.13,2670.74,4103.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4188.78,2980.51,3680.74,6627.48,0.00,4479.22,2418.58,2832.21,3160.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3888.56,3726.40,3466.43,6522.98,0.00,3808.18,2498.64,3895.82,3164.86,0.00,0.00,0.00,0.00,0.00
144,66.74,262.06203,158.33485,,,,ION=[M+H]+,,,4112.41,0.00,0.00,2140.75,2315.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2188.33,1710.72,3386.51,1592.91,0.00,2722.14,3078.49,1840.33,1515.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1884.00,1862.26,2468.81,1665.37,0.00,4112.41,1965.21,3347.41,828.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1490.47,1780.89,2238.34,3420.43,0.00,3670.37,1256.40,2516.62,935.15,0.00,0.00,0.00,0.00,0.00
145,67.50,275.14557,167.13765,,,,ION=[M+H]+,,,4308.50,0.00,0.00,2741.17,3280.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1931.46,1895.16,3414.86,3241.43,0.00,2946.51,3190.67,3291.03,3160.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2404.49,3118.59,2925.55,2489.07,0.00,4308.50,3239.92,3789.67,3377.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2414.76,3260.23,3383.23,2415.18,0.00,3223.73,3045.69,3240.61,2551.60,0.00,0.00,0.00,0.00,0.00
